"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","client_outreach_index","portfolio_depth_index","risk_penalty","inclusion_responsibility_score"
2014-02-01,"Ceja","observed",32620.76,3914.4,2.96,1979,9.07397620411051e-05,"PP.ceja",0.032464589378586,0.0372117400419287,16483.4562910561,1977.96867104598,60.6668882024821,0.92390289449113,0.844896472807762,0.995463011897945,91.4512991467483
2014-03-01,"Ceja","observed",33352.14,3552.1,-46.17,2011,-0.00138431896723868,"PP.ceja",0.0224206916086567,0.0161697827185447,16584.8533068125,1766.33515663849,60.2959810075156,0.938842203548086,0.863839636065827,1,92.8572992593791
2014-04-01,"Ceja","observed",34160.23,3955.2,-70.74,2041,-0.00207082914839859,"PP.ceja",0.0242290299812846,0.0149179512680258,16737.0063694268,1937.87359137678,59.7478412762443,0.952847805788982,0.884769632507088,1,94.1854792646617
2014-05-01,"Ceja","observed",35453.44,4113.1,-86.83,2082,-0.00244912764459528,"PP.ceja",0.037857180703994,0.0200881920627143,17028.5494716619,1975.55235350624,58.724907935591,0.971988795518207,0.918264516366315,1,96.1473752668998
2014-06-01,"Ceja","observed",37130.91,4065.5,-22.72,2104,-0.000611889124182521,"PP.ceja",0.0473147316593256,0.0105667627281461,17647.7709125475,1932.27186311787,56.6643801619729,0.982259570494865,0.961711955550468,1,97.9643371912573
2014-07-01,"Ceja","observed",38609.18,4913.3,-188.21,2142,-0.00487474740463278,"PP.ceja",0.0398123827291061,0.018060836501901,18024.827264239,2293.7908496732,55.4790337427524,1,1,1,100
2012-03-01,"Global","observed",109.8333994,109.8333297,0,18,0,"PP.global",,,6101.85552222222,6101.85165,163.884575168671,0.00470342304677293,0.00157241420314367,1,20.282343578433
2012-04-01,"Global","observed",500.3463987,398.7431056,0,79,0,"PP.global",3.5555031660069,3.38888888888889,6333.49871772152,5047.3810835443,157.89061379328,0.0206428011497256,0.00716313788069521,1,21.2470341939071
2012-05-01,"Global","observed",1380.0821646,904.0677571,0,188,0,"PP.global",1.75825341840319,1.37974683544304,7340.86257765957,4808.87104840425,136.223773353733,0.0491246407107395,0.0197577495459209,1,23.0489645219146
2012-06-01,"Global","observed",3616.65,2326.3,0,337,0,"PP.global",1.62060483989244,0.792553191489362,10731.8991097923,6902.96735905045,93.1801529039304,0.0880585314868043,0.0517772540854231,1,25.9562441969029
2012-07-01,"Global","observed",6089.38,2632.2,0,496,0,"PP.global",0.683707298190314,0.471810089020771,12276.9758064516,5306.85483870968,81.4532842424023,0.129605435066632,0.0871777405838812,1,29.095603970848
2012-08-01,"Global","observed",10114.16,4353.4,0,722,0,"PP.global",0.660950704341,0.455645161290323,14008.5318559557,6029.63988919668,71.3850680629929,0.18865952443167,0.144797929625654,1,33.7769141103531
