"date","branch","observation_type","portfolio_kbob","disbursements_kbob","overdue_kbob","clients","mora_rate","source_sheet","portfolio_growth_mom","clients_growth_mom","avg_balance_bob","disbursement_per_client_bob","clients_per_million_bob","month_index","maturity_stage","positive_mora","risk_adjusted_growth","disbursement_growth_mom","next_mora_rate","next_mora_change"
2012-11-01,"Ceja","observed",10104.42,2257.4,0,678,0,"PP.ceja",0.215658532535921,0.284090909090909,14903.2743362832,3329.49852507375,67.099348601899,7,"Scale-up",0,0.215658532535921,-0.12700131487354,0,0
2012-12-01,"Ceja","observed",12137.63,2636.9,0,783,0,"PP.ceja",0.201219862198919,0.154867256637168,15501.4431673052,3367.68837803321,64.5101226516214,8,"Scale-up",0,0.201219862198919,0.168113759191991,0,0
2013-01-01,"Ceja","observed",13987.79,2650.2,0,887,0,"PP.ceja",0.152431735025701,0.132822477650064,15769.7745208568,2987.82412626832,63.4124475703453,9,"Scale-up",0,0.152431735025701,0.00504380143350125,0.000274204324704265,0.000274204324704265
2013-02-01,"Ceja","observed",15535.86,2574.8,4.26,973,0.000274204324704265,"PP.ceja",0.110672951195292,0.0969560315670801,15966.9681397739,2646.24871531346,62.629297637852,10,"Scale-up",0.000274204324704265,0.110398746870588,-0.0284506829673231,0,-0.000274204324704265
2013-03-01,"Ceja","observed",17521.57,3248.9,0,1100,0,"PP.ceja",0.127814617278992,0.130524152106886,15928.7,2953.54545454545,62.7797623158199,11,"Scale-up",0,0.127814617278992,0.261806742271244,0.000176141082933599,0.000176141082933599
2013-04-01,"Ceja","observed",19756.89,3864.6,3.48,1205,0.000176141082933599,"PP.ceja",0.12757532572709,0.0954545454545455,16395.7593360996,3207.13692946058,60.9913807284446,12,"Scale-up",0.000176141082933599,0.127399184644156,0.189510295792422,0.00200426736395703,0.00182812628102344
2013-05-01,"Ceja","observed",21094.99,2794.6,42.28,1306,0.00200426736395703,"PP.ceja",0.0677282709981177,0.083817427385892,16152.3660030628,2139.81623277182,61.9104346577078,13,"Scale-up",0.00200426736395703,0.0657240036341607,-0.276872121306215,0.00133883912461573,-0.000665428239341305
2013-06-01,"Ceja","observed",21892.1,2372,29.31,1387,0.00133883912461573,"PP.ceja",0.0377866972205247,0.0620214395099541,15783.7779379957,1710.16582552271,63.3561878485847,14,"Scale-up",0.00133883912461573,0.036447858095909,-0.151220210405783,0.00161967364721404,0.000280834522598309
2013-07-01,"Ceja","observed",23572.65,3440.3,38.18,1491,0.00161967364721404,"PP.ceja",0.0767651344548947,0.0749819754866619,15809.9597585513,2307.37759892689,63.2512678888458,15,"Scale-up",0.00161967364721404,0.0751454608076807,0.450379426644182,0,-0.00161967364721404
2013-08-01,"Ceja","observed",24300.73,2701.2,-16.22,1561,-0.000667469660376458,"PP.ceja",0.0308866419346148,0.0469483568075117,15567.4119154388,1730.42921204356,64.2367533814828,16,"Scale-up",0,0.0308866419346148,-0.214835915472488,0.00032594345779892,0.00032594345779892
2013-09-01,"Ceja","observed",25587.26,3373.2,8.34,1634,0.00032594345779892,"PP.ceja",0.0529420309595636,0.0467648942985266,15659.2778457772,2064.38188494492,63.8599052809875,17,"Scale-up",0.00032594345779892,0.0526160875017647,0.248778320746335,0.000921578076918353,0.000595634619119433
2013-10-01,"Ceja","observed",27680.78,4429,25.51,1717,0.000921578076918353,"PP.ceja",0.0818188426584168,0.0507955936352509,16121.5958066395,2579.49912638323,62.0285989050887,18,"Scale-up",0.000921578076918353,0.0808972645814984,0.312996561128899,0.000627446129317128,-0.000294131947601224
